x,y
13.8,10.4
8.0,13.1
8.4,11.4
8.8,9.0
9.6,11.9
9.8,16.2
8.2,14.0
8.0,8.2
10.3,13.0
8.5,8.8
11.5,14.9
8.2,12.2
8.9,11.2
9.4,13.9
10.3,13.4
12.6,11.9
